Code;name;PBS2020_sum;PBS en 2020 - estimation (*=oui);PBS2020_mean;PBS moyenne en 2020 - estimation (*=oui);SAU2020_mean;SAU moyenne en 2020 - estimation (*=oui);SAU moyenne : variation absolue 2020-2010;SAU moyenne : variation absolue 2020-2010 - estimation (*=oui);SAU en 2020;SAU en 2020 - estimation (*=oui);Exploitation2020
01001;L'Abergement-Clémenciat;2035;;185;;80.8;;-2.9;;889;;11
01002;L'Abergement-de-Varey;210;;104.8;;97.6;;65.4;;195;;2
01004;Ambérieu-en-Bugey;62;;31;;35.7;;9.9;;71;;2
01005;Ambérieux-en-Dombes;1120;;124.5;;91.2;;44.4;;821;;9
01006;Ambléon;175;;87.5;;128.3;;61.8;;257;;2
01007;Ambronay;2185;;128.5;;111;;12.1;;1888;;17
01008;Ambutrix;39;;38.9;;114.6;;18.9;;115;;1
01009;Andert-et-Condon;490;;81.6;;20.3;;-1.3;;122;;6
01010;Anglefort;307;;30.7;;32.6;;-3.1;;326;;10
01011;Apremont;416;;138.7;;194.8;;53.9;;584;;3
01012;Aranc;255;;50.9;;51.2;;-26.7;;256;;5
01013;Arandas;1008;;252.1;;186.6;;70.8;;747;;4
01014;Arbent;0;;N/A;;N/A;;N/A;;0;;0
01015;Arboys en Bugey;325;;25;;33.9;;-3.8;;441;;13
01016;Arbigny;1211;;302.7;;201.4;;19.4;;805;;4
01017;Argis;170;;85.2;;67.6;;7.7;;135;;2
01019;Armix;97;;97;;196.5;;101.4;;197;;1
01021;Ars-sur-Formans;2630;;876.6;;108.1;;36.4;;324;;3
01022;Artemare;6;;3.1;;4.2;;1.5;;8;;2
01023;Asnières-sur-Saône;836;;418.1;;358.1;;130.5;;716;;2
01024;Attignat;790;;65.9;;46.9;;21.2;;563;;12
01025;Bâgé-Dommartin;12627;;257.7;;107.9;;47.5;;5289;;49
01026;Bâgé-le-Châtel;0;;N/A;;N/A;;N/A;;0;;0
01027;Balan;1012;;337.4;;256.9;;113.2;;771;;3
01028;Baneins;484;;69.1;;58.2;;5.9;;407;;7
01029;Beaupont;1567;;130.6;;84.9;;16.7;;1019;;12
01030;Beauregard;0;;N/A;;N/A;;N/A;;0;;0
01031;Bellignat;0;;N/A;;N/A;;N/A;;0;;0
01032;Béligneux;288;*;48;*;48.7;*;13.5;*;292;*;6
01033;Valserhône;1477;;86.9;;88.8;;38.2;;1510;;17
01034;Belley;993;;76.3;;49.4;;-9;;643;;13
01035;Belleydoux;273;;90.9;;98;;36.3;;294;;3
01036;Valromey-sur-Séran;1857;;66.3;;66.2;;20.4;;1852;;28
01037;Bénonces;321;;40.1;;75.5;;20.5;;604;;8
01038;Bény;1773;;197;;99.5;;41;;896;;9
01039;Béon;225;;56.3;;38.2;;11.4;;153;;4
01040;Béréziat;2167;;240.8;;117.2;;54.6;;1055;;9
01041;Bettant;15;;15.1;;0;;0;;0;;1
01042;Bey;379;;189.7;;127.8;;45.9;;256;;2
01043;Beynost;1372;;228.7;;125.9;;68;;755;;6
01044;Billiat;765;;255;;233.3;;83.7;;700;;3
01045;Birieux;954;;119.3;;86.4;;30.4;;691;;8
01046;Biziat;5029;;502.9;;128.4;;42.2;;1284;;10
01047;Blyes;490;;163.3;;129.3;;0.6;;388;;3
01049;La Boisse;750;;187.5;;97.6;;14.5;;391;;4
01050;Boissey;1899;;271.3;;101.5;;27.2;;711;;7
01051;Bolozon;0;;N/A;;N/A;;N/A;;0;;0
01052;Bouligneux;816;;58.3;;61.3;;-3.5;;858;;14
01053;Bourg-en-Bresse;545;;109;;55.4;;11.2;;277;;5
01054;Bourg-Saint-Christophe;578;;115.7;;105.3;;17.6;;527;;5
01056;Boyeux-Saint-Jérôme;995;;62.2;;23.2;;1.5;;371;;16
01057;Boz;605;;201.6;;144;;96.7;;432;;3
01058;Brégnier-Cordon;5;;5.4;;4.5;;-43.8;;4;;1
01060;Brénod;529;;105.8;;111.1;;22.5;;556;;5
01061;Brens;269;;44.8;;79.1;;40.8;;475;;6
01062;Bressolles;360;;360.4;;395.7;;264.9;;396;;1
01063;Brion;5;;5.1;;7.4;;N/A;;7;;1
01064;Briord;610;;122.1;;63;;-4.2;;315;;5
01065;Buellas;1929;;241.2;;107.4;;10;;859;;8
01066;La Burbanche;136;;67.9;;96.6;;27.8;;193;;2
01067;Ceignes;177;;177.5;;150.1;;N/A;;150;;1
01068;Cerdon;681;;32.4;;2.7;;0;;57;;21
01069;Certines;1356;;271.2;;129.3;;66.6;;646;;5
01071;Cessy;369;;123;;90.2;;39.7;*;271;;3
01072;Ceyzériat;326;;81.6;;17.6;;3.8;;70;;4
01073;Ceyzérieu;499;;71.2;;63.3;;39.7;;443;;7
01074;Chalamont;7362;;237.5;;72.1;;11.3;;2237;;31
01075;Chaleins;2527;;133;;73.5;;24.4;;1396;;19
01076;Chaley;0;;N/A;;N/A;;N/A;;0;;0
01077;Challes-la-Montagne;560;;186.6;;161.3;;92.9;;484;;3
01078;Challex;811;;115.8;;75;;3.7;;525;;7
01079;Champagne-en-Valromey;2765;;172.8;;141.6;;9.7;;2265;;16
01080;Champdor-Corcelles;941;;104.6;;124.1;;37.6;;1117;;9
01081;Champfromier;162;;162.1;;244.6;;130.1;;245;;1
01082;Chanay;491;;163.6;;165.8;;77.4;;497;;3
01083;Chaneins;1106;;79;;40.9;;-12.1;;572;;14
01084;Chanoz-Châtenay;1435;;130.5;;63.7;;14.4;;700;;11
01085;La Chapelle-du-Châtelard;1866;;116.6;;78;;-0.6;;1248;;16
01087;Charix;150;;74.8;;89.8;;44.8;;180;;2
01088;Charnoz-sur-Ain;938;;156.3;;125.8;;82.7;;755;;6
01089;Château-Gaillard;1283;;183.3;;165;;49.8;;1155;;7
01090;Châtenay;1709;;213.7;;112.8;;28.6;;903;;8
01092;Châtillon-la-Palud;344;;86;;78.4;;36.4;;314;;4
01093;Châtillon-sur-Chalaronne;11638;;1293.1;;100.2;;29.1;;902;;9
01094;Chavannes-sur-Reyssouze;2285;;207.7;;112.7;;37.5;;1239;;11
01095;Nivigne et Suran;965;;120.7;;115.6;;33.2;;925;;8
01096;Chaveyriat;2537;;126.9;;66.3;;0.1;;1325;;20
01098;Chazey-Bons;608;;67.6;;56.8;;11.7;;511;;9
01099;Chazey-sur-Ain;2044;;146;;106.1;;12.7;;1485;;14
01100;Cheignieu-la-Balme;675;;168.8;;24.4;;-4.1;;98;;4
01101;Chevillard;284;;94.6;;89.4;;13.9;;268;;3
01102;Chevroux;2730;;195;;111.6;;42;;1563;;14
01103;Chevry;719;;239.5;;178;;134;;534;;3
01104;Chézery-Forens;345;;57.6;;111.6;;52.2;;670;;6
01105;Civrieux;1244;;124.4;;110.3;;39.6;;1103;;10
01106;Cize;166;;83.2;;81.5;;32.4;;163;;2
01107;Cleyzieu;17;;17;;98.6;;72.6;;99;;1
01108;Coligny;789;;131.5;;82.3;;39.5;;494;;6
01109;Collonges;1424;;203.5;;109.4;;-15.9;;766;;7
01110;Colomieu;31;;31.4;;65.8;;-9;;66;;1
01111;Conand;0;;N/A;;N/A;;N/A;;0;;0
01112;Condamine;93;;46.7;;56.9;;24.6;;114;;2
01113;Condeissiat;3747;;249.8;;133.2;;61.8;;1998;;15
01114;Confort;117;;19.4;;25.5;;-23.7;;153;;6
01115;Confrançon;2434;;128.1;;52.5;;6.7;;997;;19
01116;Contrevoz;454;;151.4;;148.8;;84.5;;446;;3
01117;Conzieu;0;;N/A;;N/A;;N/A;;0;;0
01118;Corbonod;1972;;140.9;;58.8;;29.8;;824;;14
01121;Corlier;332;;165.9;;134;;53.2;;268;;2
01123;Cormoranche-sur-Saône;1088;;217.7;;66.5;;37.1;;332;;5
01124;Cormoz;1430;;178.8;;97.8;;28.3;;783;;8
01125;Corveissiat;1349;;224.8;;159.2;;61.1;;955;;6
01127;Courmangoux;499;;124.6;;106.1;;25.2;;425;;4
01128;Courtes;1085;;135.6;;74.6;;15.4;;597;;8
01129;Crans;348;;69.5;;46.5;;-14.8;;233;;5
01130;Bresse Vallons;3524;;176.2;;73.5;;29;;1470;;20
01133;Cressin-Rochefort;273;;68.2;;90.8;;46.4;;363;;4
01134;Crottet;290;;58;;48.3;;22.6;;241;;5
01135;Crozet;163;*;27.2;*;25.5;*;-63.8;*;153;*;6
01136;Cruzilles-lès-Mépillat;789;;71.7;;51.5;;18.3;;566;;11
01138;Culoz;295;;295.4;;271.9;;181.3;;272;;1
01139;Curciat-Dongalon;4619;;256.6;;120.2;;23;;2164;;18
01140;Curtafond;2099;;262.4;;128.7;;43.6;;1030;;8
01141;Cuzieu;75;;37.3;;85.7;;42.9;;171;;2
01142;Dagneux;408;;101.9;;96.9;;32.1;;388;;4
01143;Divonne-les-Bains;1068;;152.6;;94.7;;33.4;;663;;7
01145;Dompierre-sur-Veyle;2447;;136;;86.6;;32.6;;1558;;18
01146;Dompierre-sur-Chalaronne;640;;106.7;;63.9;;-36.3;;384;;6
01147;Domsure;3956;;359.7;;125.8;;-1.7;;1384;;11
01148;Dortan;241;;120.4;;119.2;;20.9;*;238;;2
01149;Douvres;110;;109.5;;175.2;;21.2;;175;;1
01150;Drom;926;;185.3;;112.4;;51.7;;562;;5
01151;Druillat;968;;69.1;;54.4;;27.1;;761;;14
01152;Échallon;92;;23.1;;33.6;;-4.3;;135;;4
01153;Échenevex;269;;53.8;;65.5;;-13.1;;327;;5
01155;Évosges;312;;104;;148.2;;14.7;;445;;3
01156;Faramans;664;;83;;88.9;;-43.9;;711;;8
01157;Fareins;391;;48.8;;46.5;;-1.1;;372;;8
